"Protocol" "Study" "CellType"
"540" "MARS-seq" "GSE72857" "CMP"
"541" "MARS-seq" "GSE72857" "GMP"
"542" "MARS-seq" "GSE72857" "MEP"
"543" "MARS-seq" "GSE72857" "GMP"
"544" "MARS-seq" "GSE72857" "CMP"
"545" "MARS-seq" "GSE72857" "MEP"
"546" "MARS-seq" "GSE72857" "MEP"
"547" "MARS-seq" "GSE72857" "MEP"
"548" "MARS-seq" "GSE72857" "GMP"
"549" "MARS-seq" "GSE72857" "GMP"
"550" "MARS-seq" "GSE72857" "GMP"
"551" "MARS-seq" "GSE72857" "MEP"
"552" "MARS-seq" "GSE72857" "GMP"
"553" "MARS-seq" "GSE72857" "MEP"
"554" "MARS-seq" "GSE72857" "GMP"
"555" "MARS-seq" "GSE72857" "GMP"
"556" "MARS-seq" "GSE72857" "GMP"
"557" "MARS-seq" "GSE72857" "GMP"
"558" "MARS-seq" "GSE72857" "GMP"
"559" "MARS-seq" "GSE72857" "GMP"
"560" "MARS-seq" "GSE72857" "GMP"
"561" "MARS-seq" "GSE72857" "GMP"
"562" "MARS-seq" "GSE72857" "GMP"
"563" "MARS-seq" "GSE72857" "MEP"
"564" "MARS-seq" "GSE72857" "MEP"
"565" "MARS-seq" "GSE72857" "MEP"
"566" "MARS-seq" "GSE72857" "MEP"
"567" "MARS-seq" "GSE72857" "GMP"
"568" "MARS-seq" "GSE72857" "CMP"
"569" "MARS-seq" "GSE72857" "MEP"
"570" "MARS-seq" "GSE72857" "CMP"
"571" "MARS-seq" "GSE72857" "CMP"
"572" "MARS-seq" "GSE72857" "GMP"
"573" "MARS-seq" "GSE72857" "GMP"
"574" "MARS-seq" "GSE72857" "MEP"
"575" "MARS-seq" "GSE72857" "GMP"
"576" "MARS-seq" "GSE72857" "GMP"
"577" "MARS-seq" "GSE72857" "MEP"
"578" "MARS-seq" "GSE72857" "GMP"
"579" "MARS-seq" "GSE72857" "GMP"
